Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,4,4
Horizontal Delay,0,0
Sample Interval,0.004,0.004
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,46.5,52
Vertical Scale,0.1,0.2
Vertical Position,1.86,2.08
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-16.404,-0.01,0.008
-16.4,-0.006,0.008
-16.396,-0.006,0.008
-16.392,-0.002,0.008
-16.388,-0.006,0.008
-16.384,-0.002,0.008
-16.38,-0.006,0.008
-16.376,-0.002,0.016
-16.372,-0.002,0.008
-16.368,-0.006,0.016
-16.364,0.002,0.008
-16.36,-0.006,0.008
-16.356,-0.006,0.008
-16.352,-0.006,0.016
-16.348,-0.006,0.016
-16.344,-0.006,0.008
-16.34,-0.006,0.008
-16.336,-0.006,0.016
-16.332,-0.006,0.016
-16.328,-0.01,0.016
-16.324,-0.006,0.008
-16.32,-0.006,0.008
-16.316,-0.01,0.008
-16.312,-0.006,0.016
-16.308,-0.01,0.016
-16.304,-0.006,0.016
-16.3,-0.006,0.016
-16.296,-0.006,0.016
-16.292,-0.006,0.008
-16.288,-0.006,0.008
-16.284,-0.006,0.008
-16.28,-0.006,0.008
-16.276,-0.006,0.008
-16.272,-0.006,0.008
-16.268,-0.006,0.016
-16.264,-0.01,0.016
-16.26,-0.006,0.008
-16.256,-0.006,0.008
-16.252,-0.006,0.008
-16.248,-0.006,0.008
-16.244,-0.006,0.016
-16.24,-0.006,0.016
-16.236,-0.006,0.016
-16.232,-0.002,0.016
-16.228,-0.006,0.008
-16.224,-0.006,0.016
-16.22,-0.006,0.016
-16.216,-0.006,0.016
-16.212,-0.002,0.016
-16.208,-0.002,0.016
-16.204,-0.006,0.016
-16.2,-0.002,0.008
-16.196,0.002,0.016
-16.192,-0.006,0.016
-16.188,-0.002,0.016
-16.184,-0.002,0.016
-16.18,0.002,0.016
-16.176,0.002,0.016
-16.172,0.002,0.016
-16.168,0.002,0.008
-16.164,0.002,0.008
-16.16,0.002,0.016
-16.156,0.002,0.016
-16.152,-0.002,0.016
-16.148,-0.002,0.008
-16.144,0.002,0.016
-16.14,0.002,0.016
-16.136,-0.002,0.016
-16.132,0.002,0.008
-16.128,0.002,0.008
-16.124,0.002,0.016
-16.12,0.002,0.008
-16.116,0.002,0.016
-16.112,0.002,0.016
-16.108,0.002,0.008
-16.104,0.002,0.016
-16.1,0.002,0.008
-16.096,-0.002,0.008
