Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.02,0.02
Horizontal Delay,0,0
Sample Interval,2E-05,2E-05
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,29.5,-50
Vertical Scale,1,1
Vertical Position,1.18,-2
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-0.08656,0.98,0.52
-0.08654,0.98,0.52
-0.08652,0.98,0.52
-0.0865,0.98,0.56
-0.08648,0.98,0.56
-0.08646,1.02,0.52
-0.08644,0.98,0.48
-0.08642,0.94,0.56
-0.0864,1.02,0.52
-0.08638,0.94,0.52
-0.08636,0.98,0.52
-0.08634,0.98,0.56
-0.08632,0.98,0.56
-0.0863,0.98,0.56
-0.08628,0.98,0.56
-0.08626,0.98,0.52
-0.08624,0.98,0.56
-0.08622,1.02,0.52
-0.0862,0.98,0.56
-0.08618,0.98,0.56
-0.08616,0.98,0.56
-0.08614,0.98,0.52
-0.08612,1.02,0.56
-0.0861,0.98,0.56
-0.08608,0.98,0.56
-0.08606,0.98,0.56
-0.08604,0.98,0.56
-0.08602,0.98,0.56
-0.086,0.98,0.56
-0.08598,0.98,0.56
-0.08596,0.98,0.56
-0.08594,0.98,0.56
-0.08592,0.98,0.56
-0.0859,0.98,0.6
-0.08588,1.02,0.6
-0.08586,1.02,0.52
-0.08584,0.98,0.56
-0.08582,0.98,0.6
-0.0858,0.98,0.56
-0.08578,0.98,0.52
-0.08576,0.98,0.56
-0.08574,0.98,0.56
-0.08572,0.94,0.56
-0.0857,0.98,0.56
-0.08568,1.02,0.56
-0.08566,1.02,0.56
-0.08564,0.98,0.56
-0.08562,0.98,0.6
-0.0856,0.98,0.6
-0.08558,1.02,0.6
-0.08556,0.98,0.56
-0.08554,0.98,0.6
-0.08552,0.98,0.56
-0.0855,0.98,0.6
-0.08548,0.98,0.64
-0.08546,1.02,0.6
-0.08544,0.98,0.6
-0.08542,0.98,0.56
-0.0854,1.02,0.6
-0.08538,1.02,0.6
-0.08536,0.98,0.56
-0.08534,0.98,0.6
-0.08532,0.98,0.6
-0.0853,0.98,0.6
-0.08528,0.98,0.6
-0.08526,0.98,0.6
-0.08524,0.98,0.64
-0.08522,1.02,0.56
-0.0852,1.02,0.6
-0.08518,0.98,0.6
-0.08516,1.02,0.56
-0.08514,0.98,0.56
-0.08512,0.98,0.64
-0.0851,1.02,0.6
-0.08508,0.98,0.6
-0.08506,1.02,0.6
-0.08504,0.98,0.56
-0.08502,0.98,0.6
-0.085,0.98,0.6
-0.08498,0.98,0.6
-0.08496,1.02,0.6
-0.08494,0.98,0.6
-0.08492,0.98,0.6
-0.0849,1.02,0.6
-0.08488,0.98,0.64
-0.08486,0.98,0.6
-0.08484,0.98,0.64
-0.08482,0.98,0.6
-0.0848,0.98,0.6
-0.08478,0.98,0.64
-0.08476,0.98,0.64
-0.08474,0.98,0.6
-0.08472,1.02,0.64
-0.0847,0.98,0.64
-0.08468,0.98,0.6
-0.08466,1.02,0.6
-0.08464,0.98,0.6
-0.08462,0.98,0.6
-0.0846,1.02,0.6
-0.08458,0.98,0.6
-0.08456,1.02,0.6
-0.08454,1.02,0.64
-0.08452,1.02,0.6
-0.0845,0.98,0.64
-0.08448,1.02,0.64
-0.08446,0.98,0.64
-0.08444,0.98,0.64
-0.08442,0.98,0.6
-0.0844,0.98,0.6
-0.08438,0.98,0.64
-0.08436,0.98,0.68
-0.08434,0.98,0.64
-0.08432,0.98,0.64
-0.0843,0.98,0.64
-0.08428,0.98,0.6
-0.08426,0.98,0.64
-0.08424,0.98,0.6
-0.08422,0.98,0.64
-0.0842,1.02,0.64
-0.08418,0.98,0.6
-0.08416,0.98,0.64
-0.08414,0.98,0.64
-0.08412,0.98,0.64
-0.0841,0.98,0.64
-0.08408,1.02,0.64
-0.08406,0.98,0.64
-0.08404,0.98,0.64
-0.08402,1.02,0.64
-0.084,0.98,0.68
-0.08398,0.98,0.64
-0.08396,0.98,0.68
-0.08394,1.02,0.64
-0.08392,0.98,0.68
-0.0839,0.98,0.64
-0.08388,0.98,0.64
-0.08386,0.98,0.64
-0.08384,1.02,0.64
-0.08382,0.98,0.64
-0.0838,1.02,0.68
-0.08378,0.98,0.64
-0.08376,0.98,0.68
-0.08374,0.98,0.64
-0.08372,1.02,0.64
-0.0837,0.98,0.64
-0.08368,0.98,0.6
-0.08366,1.02,0.64
-0.08364,0.98,0.64
-0.08362,0.98,0.64
-0.0836,0.98,0.64
-0.08358,0.98,0.64
-0.08356,0.98,0.64
-0.08354,1.02,0.64
-0.08352,0.98,0.64
-0.0835,0.98,0.64
-0.08348,0.98,0.68
-0.08346,0.98,0.64
-0.08344,0.98,0.64
-0.08342,1.02,0.64
-0.0834,0.98,0.68
-0.08338,0.98,0.68
-0.08336,0.98,0.64
-0.08334,0.98,0.68
-0.08332,0.98,0.68
-0.0833,0.98,0.64
-0.08328,0.98,0.68
-0.08326,1.02,0.68
-0.08324,1.02,0.68
-0.08322,0.98,0.68
-0.0832,1.02,0.64
-0.08318,0.98,0.64
-0.08316,0.98,0.68
